name,n_inputs,canonical_key
3input0x3A_X1,3,0b10111100
3input0x3A_X1_DH_P,3,0b10111100
3input0x3B_X1,3,0b10111101
3input0x3B_X1_DH_N,3,0b10111101
3input0x3C_X1,3,0b10111110
3input0x3D_X1,3,0b10111111
3input0x3E_X1,3,0b11101000
3input0x3E_X1_DH_P,3,0b11101000
3input0x3F_X1,3,0b11101001
3input0x3F_X1_DH_P,3,0b11101001
OAI21_X1,3,0b11101010
OAI21_X2,3,0b11101010
3input0x41_X1,3,0b11101011
3input0x41_X1_DH_P,3,0b11101011
3input0x42_X1,3,0b11101111
NAND3_X1,3,0b11111110
NAND3_X2,3,0b11111110
NOR4_X1,4,0b1000000000000000
NOR4_X2,4,0b1000000000000000
AOI211_X1,4,0b1000100010000000
AOI22_X1,4,0b1110111011100000
AOI22_X2,4,0b1110111011100000
OAI22_X1,4,0b1111100010001000
OAI22_X2,4,0b1111100010001000
OAI211_X1,4,0b1111111011101110
NAND4_X1,4,0b1111111111111110
NAND4_X2,4,0b1111111111111110
AOI221_X1,5,0b10101000101010001010100000000000
OAI221_X1,5,0b11111111111010101110101011101010
AOI222_X1_SH,6,0b1110111011100000111011101110000011101110111000000000000000000000
OAI222_X1_SH,6,0b1111111111111111111110001000100011111000100010001111100010001000
4input0x000288_X1,4,0b1000000010001000
4input0x0002_X1,4,0b0000000000000010
4input0x0002_X2,4,0b0000000000000010
4input0x0080_X2,4,0b0000000010000000
4input0x00A888_X1,4,0b1111100000000000
4input0x00A888_X2,4,0b1111100000000000
4input0x00A8AA_X1,4,0b1010100010101010
4input0x00A8AA_X2,4,0b1010100010101010
4input0x00A8_X1,4,0b0000000010101000
4input0x00A8_X2,4,0b0000000010101000
4input0x01FF_X1,4,0b0101010101010111
4input0x01FF_X2,4,0b0101010101010111
4input0x0357_X1,4,0b0000001101010111
4input0x0777_X1,4,0b0000011101110111
4input0x0777_X2,4,0b0000011101110111
4input0x1BFF_X1,4,0b0001101111111111
4input0x2888_X1,4,0b0111100000000000
4input0x38B_X1,4,0b1101000111000000
4input0x7FFF_X1,4,0b0111111111111111
4input0x7FFF_X2,4,0b0111111111111111
4input0x8000_X1,4,0b1000000000000000
4input0x8000_X2,4,0b1000000000000000
4input0x80AA_X1,4,0b1000000010101010
4input0x80AA_X2,4,0b1000000010101010
4input0x88F0_X1,4,0b1101010110000000
4input0x88F8_X1,4,0b1000100011111000
4input0x88F8_X2,4,0b1000100011111000
4input0x8A_X1,4,0b0101000100000000
4input0x8_X1,4,0b0000000000001000
4input0xA8FC_X1,4,0b1010100011111100
4input0xA8FC_X2,4,0b1010100011111100
4input0xAAA8_X1,4,0b1111111000000000
4input0xAAA8_X2,4,0b1111111000000000
4input0xAAEA_X1,4,0b1010101011101010
4input0xAAEA_X2,4,0b1010101011101010
4input0xAAFE_X1,4,0b1010101011111110
4input0xAAFE_X2,4,0b1010101011111110
4input0xBFFF_X1,4,0b1111111101111111
4input0xEAC0_X1,4,0b1110101011000000
4input0xEAC8_X1,4,0b1111101011000000
4input0xEAEF_X1,4,0b1110101011101111
4input0xEAFF_X1,4,0b1111111111010101
4input0xEEEA_X1,4,0b1111111111100000
4input0xEEEF_X1,4,0b1110111011101111
4input0xEEEF_X2,4,0b1110111011101111
4input0xEEE_X1,4,0b0000111011101110
4input0xE_X1,4,0b0000000000001110
4input0xFEEE_X1,4,0b1111111011101110
4input0xFEFF_X1,4,0b1111111111111101
