canonical,cell_name,count,logic_expr,n_inputs,tt_weight,anf_degree,is_affine,is_symmetric,is_monotone,is_anti_monotone,output_inv_count,input_inv_count,fet_count,n_nmos,n_pmos,nfin_n_total,nfin_p_total,nfin_ratio,max_stack_n,max_stack_p,n_internal_nets,total_transistors,cpp_min,cell_fraction
0b00011010,3input0xC_X1,0,,3,0.375000,3,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b00011010,3input0xC_X1_DH_N,0,,3,0.375000,3,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b00011011,3input0xD_X1,0,,3,0.500000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b00011110,3input0xE_X1,0,,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00011110,3input0xE_X1_DH_N,0,,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00011111,3input0xF_X1,0,,3,0.625000,3,0,0,1,0,1,0,8,4,4,8,8,1.000000,1,1,3,8,4,0.000000
0b00101000,3input0x10_X1,0,,3,0.250000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00101001,3input0x11_X1_DH_N,0,,3,0.375000,3,0,0,0,0,1,0,18,9,9,18,18,1.000000,2,2,8,18,10,0.000000
0b00101010,3input0x12_X1,0,,3,0.375000,3,0,0,0,0,1,1,8,4,4,8,8,1.000000,1,2,3,8,4,0.000000
0b00101011,3input0x13_X1,0,,3,0.500000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,8,0.000000
0b00101011,3input0x13_X1_DH_N,0,,3,0.500000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,2,2,6,14,8,0.000000
0b00101100,3input0x14_X1,0,,3,0.375000,3,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00101101,3input0x15_X1_DH_P,0,,3,0.500000,2,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000
0b00101110,3input0x16_X1,0,,3,0.500000,2,0,0,0,0,1,1,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000
0b00101111,3input0x17_X1,0,,3,0.625000,3,0,0,0,0,0,1,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000
0b00111101,3input0x18_X1,0,,3,0.625000,3,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00111101,3input0x18_X1_DH_N,0,,3,0.625000,3,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b00111110,3input0x19_X1,0,,3,0.625000,3,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,1,6,14,7,0.000000
0b00111110,3input0x19_X1_DH_N,0,,3,0.625000,3,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,1,6,14,7,0.000000
0b01000000,3input0x4_X1,0,,3,0.125000,3,0,0,0,0,1,2,8,4,4,8,8,1.000000,1,3,3,8,4,0.000000
0b01000001,3input0x5_X1,0,,3,0.250000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b01000001,3input0x5_X1_DH_N,0,,3,0.250000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b01010001,3input0x6_X1,0,,3,0.375000,3,0,0,0,0,1,1,10,5,5,10,10,1.000000,1,1,4,10,5,0.000000
0b01010100,3input0x7_X1,0,,3,0.375000,3,0,0,0,0,1,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000
0b01101000,3input0x1A_X1,0,,3,0.375000,3,0,1,0,0,1,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000
0b01101000,3input0x1A_X1_DH_P,0,,3,0.375000,3,0,1,0,0,1,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000
0b01101001,3input0x1B_X1_DH_N,0,,3,0.500000,1,1,1,0,0,0,0,18,14,14,28,28,1.000000,2,1,13,28,15,0.000000
0b01101010,3input0x1C_X1,0,,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b01101010,3input0x1C_X1_DH_N,0,,3,0.500000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b01101011,3input0x1D_X1_DH_N,0,,3,0.625000,3,0,0,0,0,0,0,18,9,9,18,18,1.000000,2,2,8,18,10,0.000000
0b01101110,3input0x1E_X1,0,,3,0.625000,3,0,0,0,0,1,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b01101111,3input0x1F_X1_DH_N,0,,3,0.750000,2,0,0,0,0,0,0,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b01111110,3input0x20_X1,0,,3,0.750000,2,0,1,0,0,1,0,30,15,15,30,30,1.000000,2,2,14,30,17,0.000000
0b01111110,3input0x20_X1_DH_N,0,,3,0.750000,2,0,1,0,0,1,0,30,15,15,30,30,1.000000,2,2,14,30,17,0.000000
0b10000001,3input0x23_X1,0,,3,0.250000,2,0,1,0,0,0,0,30,15,15,30,30,1.000000,2,2,14,30,16,0.000000
0b10000001,3input0x23_X1_DH_N,0,,3,0.250000,2,0,1,0,0,0,0,30,15,15,30,30,1.000000,2,2,14,30,16,0.000000
0b10000010,3input0x24_X1,0,,3,0.250000,2,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,2,6,14,14,0.000000
0b10000011,3input0x25_X1,0,,3,0.375000,3,0,0,0,0,1,1,14,7,7,14,14,1.000000,1,1,6,14,7,0.000000
0b10000110,3input0x26_X1,0,,3,0.375000,3,0,0,0,0,1,0,20,10,10,20,20,1.000000,2,3,9,20,11,0.000000
0b10000110,3input0x26_X1_DH_N,0,,3,0.375000,3,0,0,0,0,1,0,20,10,10,20,20,1.000000,2,3,9,20,11,0.000000
0b10000111,3input0x27_X1,0,,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,14,0.000000
0b10000111,3input0x27_X1_DH_N,0,,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,14,0.000000
0b10001001,3input0x28_X1,0,,3,0.375000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10001001,3input0x28_X1_DH_N,0,,3,0.375000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10001010,3input0x29_X1,0,,3,0.375000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000
0b10001011,3input0x2A_X1,0,,3,0.500000,2,0,0,0,0,0,1,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000
0b10001110,3input0x2B_X1,0,,3,0.500000,2,0,0,0,0,0,2,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b10001110,3input0x2B_X1_DH_P,0,,3,0.500000,2,0,0,0,0,0,2,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b10001111,3input0x2C_X1,0,,3,0.625000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000
0b10010110,3input0x2D_X1_DH_N,0,,3,0.500000,1,1,1,0,0,0,0,18,15,15,30,30,1.000000,2,2,14,30,17,0.000000
0b10010111,3input0x2E_X1,0,,3,0.625000,3,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000
0b10010111,3input0x2E_X1_DH_N,0,,3,0.625000,3,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000
0b10011000,3input0x2F_X1,0,,3,0.375000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10011000,3input0x2F_X1_DH_N,0,,3,0.375000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10011010,3input0x30_X1,0,,3,0.500000,2,0,0,0,0,1,0,22,11,11,22,22,1.000000,2,3,10,22,22,0.000000
0b10011010,3input0x30_X1_DH_N,0,,3,0.500000,2,0,0,0,0,1,0,22,11,11,22,22,1.000000,2,3,10,22,22,0.000000
0b10011011,3input0x31_X1,0,,3,0.625000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10011011,3input0x31_X1_DH_N,0,,3,0.625000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10011110,3input0x32_X1,0,,3,0.625000,3,0,0,0,0,1,0,22,11,11,22,22,1.000000,1,1,10,22,11,0.000000
0b10011110,3input0x32_X1_DH_P,0,,3,0.625000,3,0,0,0,0,1,0,22,11,11,22,22,1.000000,1,1,10,22,11,0.000000
0b10011111,3input0x33_X1,0,,3,0.750000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10011111,3input0x33_X1_DH_N,0,,3,0.750000,2,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10101001,3input0x35_X1,0,,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,9,0.000000
0b10101001,3input0x35_X1_DH_P,0,,3,0.500000,2,0,0,0,0,1,0,14,7,7,14,14,1.000000,2,2,6,14,9,0.000000
0b10101011,3input0x36_X1,0,,3,0.625000,3,0,0,0,0,0,1,8,4,4,8,8,1.000000,2,1,3,8,4,0.000000
0b10101100,3input0x37_X1,0,,3,0.500000,2,0,0,0,0,0,2,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000
0b10101101,3input0x38_X1,0,,3,0.625000,3,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b10101110,3input0x39_X1,0,,3,0.625000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000
0b10111100,3input0x3A_X1,0,,3,0.625000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10111100,3input0x3A_X1_DH_P,0,,3,0.625000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000
0b10111101,3input0x3B_X1,0,,3,0.750000,2,0,0,0,0,0,0,16,8,8,16,16,1.000000,2,2,7,16,8,0.000000
0b10111110,3input0x3C_X1,0,,3,0.750000,2,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,1,6,14,7,0.000000
0b10111111,3input0x3D_X1,0,,3,0.875000,3,0,0,0,0,0,1,8,4,4,8,8,1.000000,2,1,3,8,4,0.000000
0b11101000,3input0x3E_X1,0,,3,0.500000,2,0,1,0,1,0,3,10,5,5,10,10,1.000000,2,3,4,10,5,0.000000
0b11101000,3input0x3E_X1_DH_P,0,,3,0.500000,2,0,1,0,1,0,3,10,5,5,10,10,1.000000,2,3,4,10,5,0.000000
0b11101001,3input0x3F_X1,0,,3,0.625000,3,0,1,0,0,1,0,20,10,10,20,20,1.000000,1,1,9,20,10,0.000000
0b11101001,3input0x3F_X1_DH_P,0,,3,0.625000,3,0,1,0,0,1,0,20,10,10,20,20,1.000000,1,1,9,20,10,0.000000
0b11101011,3input0x41_X1,0,,3,0.750000,2,0,0,0,0,0,1,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000
0b11101111,3input0x42_X1,0,,3,0.875000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,3,1,3,8,4,0.000000
0b01,INV_X1,0,,1,0.500000,1,1,1,1,0,2,0,4,2,2,4,4,1.000000,1,1,1,4,2,0.000000
0b01,INV_X2,0,,1,0.500000,1,1,1,1,0,2,0,4,2,2,8,8,1.000000,1,1,1,4,2,0.000000
0b1111111111111110,4input0x7fff_X1,0,,4,0.937500,4,0,1,0,1,0,4,8,4,4,8,8,1.000000,4,1,3,8,4,0.000000
0b1111111111111110,4input0x7fff_X2,0,,4,0.937500,4,0,1,0,1,0,4,8,4,4,16,16,1.000000,4,1,3,8,4,0.000000
0b1111111111111110,NAND4_X1,0,,4,0.937500,4,0,1,0,1,0,4,8,4,4,8,8,1.000000,4,1,3,8,4,0.000000
0b1111111111111110,NAND4_X2,0,,4,0.937500,4,0,1,0,1,0,4,8,4,4,16,16,1.000000,4,1,3,8,4,0.000000
0b11111110,NAND3_X1,0,,3,0.875000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,3,1,2,6,3,0.000000
0b11111110,NAND3_X2,0,,3,0.875000,3,0,1,0,1,0,3,6,3,3,12,12,1.000000,3,1,2,6,3,0.000000
0b0000000000000010,4input0x0002_X1,0,,4,0.062500,4,0,0,0,0,1,1,10,5,5,10,10,1.000000,1,2,4,10,5,0.000000
0b0000000000000010,4input0x0002_X2,0,,4,0.062500,4,0,0,0,0,1,1,10,5,5,20,20,1.000000,1,2,4,10,5,0.000000
0b0000000000000010,4input0x0080_X1,0,,4,0.062500,4,0,0,0,0,1,1,10,5,5,10,10,1.000000,1,2,4,10,5,0.000000
0b0000000000000010,4input0x0080_X2,0,,4,0.062500,4,0,0,0,0,1,1,10,5,5,20,20,1.000000,1,2,4,10,5,0.000000
0b1000000000000000,4input0x8000_X1,0,,4,0.062500,4,0,1,0,1,0,4,8,4,4,8,8,1.000000,1,4,3,8,4,0.000000
0b1000000000000000,4input0x8000_X2,0,,4,0.062500,4,0,1,0,1,0,4,8,4,4,16,16,1.000000,1,4,3,8,4,0.000000
0b1000000000000000,NOR4_X1,0,,4,0.062500,4,0,1,0,1,0,4,8,4,4,8,8,1.000000,1,4,3,8,4,0.000000
0b1000000000000000,NOR4_X2,0,,4,0.062500,4,0,1,0,1,0,4,8,4,4,16,16,1.000000,1,4,3,8,4,0.000000
0b10000000,4input0x3_X1,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,1,3,2,6,3,0.000000
0b10000000,4input0x3_X2,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,12,12,1.000000,1,3,2,6,3,0.000000
0b10000000,4input0xE8A8_X1,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,1,3,2,6,3,0.000000
0b10000000,4input0xE8A8_X2,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,12,12,1.000000,1,3,2,6,3,0.000000
0b10000000,NOR3_X1,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,6,6,1.000000,1,3,2,6,3,0.000000
0b10000000,NOR3_X2,0,,3,0.125000,3,0,1,0,1,0,3,6,3,3,12,12,1.000000,1,3,2,6,3,0.000000
0b11101111,3input0x42_X2,0,,3,0.875000,3,0,0,0,0,0,2,8,4,4,16,16,1.000000,3,1,3,8,4,0.000000
0b00000010,3input0x1_X2,0,,3,0.125000,3,0,0,0,0,1,1,8,4,4,16,16,1.000000,1,2,3,8,4,0.000000
0b1110101011000000,4input0xEAC0_X1,0,,4,0.437500,4,0,0,0,1,0,4,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000
0b1110101011000000,4input0xEAC0_X2,0,,4,0.437500,4,0,0,0,1,0,4,8,4,4,16,16,1.000000,2,2,3,8,4,0.000000
